SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
677	4.33444e-05	3.85053e-06	0.0888356
678	4.31453e-05	3.85314e-06	0.089306
679	4.29463e-05	3.85642e-06	0.0897963
680	4.27533e-05	3.8612e-06	0.0903135
681	4.25668e-05	3.86788e-06	0.0908661
682	4.23873e-05	3.8768e-06	0.0914612
683	4.22152e-05	3.88827e-06	0.0921059
684	4.2048e-05	3.90229e-06	0.0928054
685	4.18888e-05	3.91926e-06	0.0935636
686	4.1735e-05	3.939e-06	0.0943812
687	4.15867e-05	3.96141e-06	0.0952567
688	4.1444e-05	3.98631e-06	0.0961854
689	4.13069e-05	4.01338e-06	0.09716
690	4.11777e-05	4.04245e-06	0.0981708
691	4.10513e-05	4.07248e-06	0.0992046
692	4.09275e-05	4.10288e-06	0.100248
693	4.08086e-05	4.13323e-06	0.101283
694	4.0692e-05	4.16258e-06	0.102295
695	4.05773e-05	4.19018e-06	0.103264
696	4.04643e-05	4.21535e-06	0.104174
697	4.03529e-05	4.23739e-06	0.105008
698	4.02428e-05	4.25565e-06	0.105749
699	4.01315e-05	4.2693e-06	0.106383
700	4.00212e-05	4.27807e-06	0.106895
701	3.99095e-05	4.28129e-06	0.107275
702	3.97963e-05	4.27861e-06	0.107513
703	3.96817e-05	4.26978e-06	0.107601
704	3.95657e-05	4.25465e-06	0.107534
705	3.94486e-05	4.23322e-06	0.10731
706	3.93282e-05	4.20526e-06	0.106927
707	3.92048e-05	4.17095e-06	0.106389
708	3.9081e-05	4.13084e-06	0.105699
709	3.8955e-05	4.08504e-06	0.104866
710	3.88272e-05	4.03406e-06	0.103898
711	3.86958e-05	3.97822e-06	0.102808
712	3.85635e-05	3.91846e-06	0.101611
713	3.84288e-05	3.85532e-06	0.100324
714	3.82922e-05	3.78965e-06	0.0989666
715	3.81567e-05	3.72263e-06	0.0975617
716	3.80205e-05	3.65501e-06	0.0961328
717	3.7882e-05	3.58765e-06	0.0947058
718	3.77442e-05	3.52184e-06	0.0933083
719	3.76054e-05	3.45847e-06	0.0919675
720	3.74685e-05	3.39885e-06	0.0907123
721	3.73319e-05	3.34379e-06	0.0895693
722	3.71938e-05	3.29403e-06	0.0885639
723	3.70573e-05	3.25062e-06	0.0877188
724	3.69227e-05	3.21423e-06	0.0870529
725	3.67885e-05	3.18513e-06	0.0865795
726	3.66597e-05	3.164e-06	0.0863073
727	3.65277e-05	3.15006e-06	0.0862376
728	3.63976e-05	3.1435e-06	0.0863656
729	3.62699e-05	3.14388e-06	0.0866803
730	3.61427e-05	3.15036e-06	0.0871645
731	3.60167e-05	3.16214e-06	0.0877965
732	3.58923e-05	3.17825e-06	0.0885497
733	3.57698e-05	3.19769e-06	0.0893966
734	3.56497e-05	3.21938e-06	0.090306
735	3.55302e-05	3.24206e-06	0.0912479
736	3.54118e-05	3.26472e-06	0.092193
737	3.52948e-05	3.28644e-06	0.0931139
738	3.51798e-05	3.30638e-06	0.0939855
739	3.50669e-05	3.32381e-06	0.0947849
740	3.49545e-05	3.33799e-06	0.0954955
741	3.4845e-05	3.34864e-06	0.096101
742	3.47367e-05	3.35528e-06	0.0965918
743	3.46278e-05	3.3575e-06	0.0969595
744	3.45208e-05	3.35543e-06	0.0972002
745	3.44138e-05	3.34892e-06	0.0973132
746	3.43093e-05	3.33826e-06	0.097299
