SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
126	0.000600481	4.7991e-06	0.00799209
127	0.000596608	4.88343e-06	0.00818533
128	0.000592781	4.9724e-06	0.00838826
129	0.000588979	5.06117e-06	0.00859312
130	0.000585223	5.14614e-06	0.00879347
131	0.000581493	5.2241e-06	0.00898393
132	0.000577811	5.29293e-06	0.00916031
133	0.000574143	5.35134e-06	0.00932056
134	0.00057051	5.39909e-06	0.00946363
135	0.000566915	5.43647e-06	0.00958957
136	0.000563345	5.46437e-06	0.00969987
137	0.000559804	5.48403e-06	0.00979633
138	0.000556298	5.49702e-06	0.00988144
139	0.000552814	5.50462e-06	0.00995744
140	0.000549376	5.50829e-06	0.0100264
141	0.000545956	5.50875e-06	0.0100901
142	0.000542577	5.50678e-06	0.0101493
143	0.000539228	5.50231e-06	0.010204
144	0.000535901	5.49508e-06	0.0102539
145	0.000532602	5.48433e-06	0.0102972
146	0.000529338	5.46921e-06	0.0103322
147	0.000526102	5.44853e-06	0.0103564
148	0.000522884	5.42087e-06	0.0103673
149	0.000519693	5.38542e-06	0.0103627
150	0.000516522	5.34115e-06	0.0103406
151	0.00051338	5.28753e-06	0.0102995
152	0.000510259	5.22457e-06	0.0102391
153	0.00050717	5.1526e-06	0.0101595
154	0.000504106	5.0723e-06	0.010062
155	0.000501062	4.98495e-06	0.00994877
156	0.000498064	4.89245e-06	0.00982293
157	0.000495077	4.79642e-06	0.00968823
158	0.000492111	4.69921e-06	0.00954907
159	0.000489164	4.60321e-06	0.00941035
160	0.000486246	4.511e-06	0.00927719
161	0.000483354	4.42472e-06	0.0091542
162	0.000480486	4.34659e-06	0.00904625
163	0.000477637	4.27823e-06	0.00895707
164	0.000474821	4.22121e-06	0.00889009
165	0.00047202	4.17623e-06	0.00884757
166	0.000469247	4.14395e-06	0.00883107
167	0.000466498	4.12422e-06	0.00884081
168	0.00046373	4.1162e-06	0.00887628
169	0.000461025	4.11983e-06	0.00893622
170	0.000458354	4.13358e-06	0.00901833
171	0.000455699	4.15594e-06	0.00911992
172	0.000453074	4.18529e-06	0.00923754
173	0.000450462	4.21976e-06	0.00936762
174	0.000447876	4.25762e-06	0.00950624
175	0.000445302	4.2968e-06	0.0096492
176	0.000442751	4.33563e-06	0.00979248
177	0.000440223	4.37222e-06	0.00993183
178	0.000437703	4.40482e-06	0.0100635
179	0.000435204	4.43195e-06	0.0101836
180	0.000432727	4.45238e-06	0.0102891
181	0.000430257	4.4648e-06	0.0103771
